08:57:48:393 [ALWAYS]	GUDE Logging Started
08:57:48:393 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
08:57:48:393 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
08:57:48:393 [ERROR]	Initialize resume cache pointer failure
08:57:48:393 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
08:57:48:393 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
08:57:55:065 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
08:57:55:065 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
08:57:55:065 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
08:57:55:065 [ERROR]	Initialize resume cache pointer failure
08:57:55:065 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
08:57:55:065 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
